date,is_weekend,is_public_hol,is_school_break,official_day_off,is_bridge_day,day_type,is_extended_day_off
2021-01-01,False,True,False,True,False,public_holiday,True
2021-01-02,True,True,False,True,False,public_holiday,True
2021-01-03,True,False,False,True,False,weekend,True
2021-01-04,False,False,False,False,False,workday,False
2021-01-05,False,False,False,False,False,workday,False
2021-01-06,False,False,False,False,False,workday,False
2021-01-07,False,False,False,False,False,workday,False
2021-01-08,False,False,False,False,False,workday,False
2021-01-09,True,False,False,True,False,weekend,True
2021-01-10,True,False,False,True,False,weekend,True
2021-01-11,False,False,False,False,False,workday,False
2021-01-12,False,False,False,False,False,workday,False
2021-01-13,False,False,False,False,False,workday,False
2021-01-14,False,False,False,False,False,workday,False
2021-01-15,False,False,False,False,False,workday,False
2021-01-16,True,False,False,True,False,weekend,True
2021-01-17,True,False,False,True,False,weekend,True
2021-01-18,False,False,False,False,False,workday,False
2021-01-19,False,False,False,False,False,workday,False
2021-01-20,False,False,False,False,False,workday,False
2021-01-21,False,False,False,False,False,workday,False
2021-01-22,False,False,False,False,False,workday,False
2021-01-23,True,False,False,True,False,weekend,True
2021-01-24,True,False,False,True,False,weekend,True
2021-01-25,False,False,False,False,False,workday,False
2021-01-26,False,False,False,False,False,workday,False
2021-01-27,False,False,False,False,False,workday,False
2021-01-28,False,False,False,False,False,workday,False
2021-01-29,False,False,False,False,False,workday,False
2021-01-30,True,False,False,True,False,weekend,True
2021-01-31,True,False,False,True,False,weekend,True
2021-02-01,False,False,False,False,False,workday,False
2021-02-02,False,False,False,False,False,workday,False
2021-02-03,False,False,False,False,False,workday,False
2021-02-04,False,False,False,False,False,workday,False
2021-02-05,False,False,False,False,False,workday,False
2021-02-06,True,False,False,True,False,weekend,True
2021-02-07,True,False,False,True,False,weekend,True
2021-02-08,False,False,False,False,False,workday,False
2021-02-09,False,False,False,False,False,workday,False
2021-02-10,False,False,False,False,False,workday,False
2021-02-11,False,False,False,False,False,workday,False
2021-02-12,False,False,False,False,False,workday,False
2021-02-13,True,False,False,True,False,weekend,True
2021-02-14,True,False,False,True,False,weekend,True
